Site_Name,Month,Day,Year,Time,AM_PM,Level,Unit
SS,7,24,2021,3:35,AM,147,mm
SS,7,24,2021,3:35,PM,38,mm
SS,7,24,2021,3:40,AM,145,mm
SS,7,24,2021,3:40,PM,37,mm
SS,7,24,2021,3:45,AM,151,mm
SS,7,24,2021,3:45,PM,42,mm
SS,7,24,2021,3:50,AM,142,mm
SS,7,24,2021,3:50,PM,35,mm
SS,7,24,2021,3:55,AM,137,mm
SS,7,24,2021,3:55,PM,35,mm
SS,7,24,2021,4:00,AM,144,mm
SS,7,24,2021,4:00,PM,40,mm
SS,7,24,2021,4:05,AM,137,mm
SS,7,24,2021,4:05,PM,33,mm
SS,7,24,2021,4:10,AM,134,mm
SS,7,24,2021,4:10,PM,32,mm
SS,7,24,2021,4:15,AM,140,mm
SS,7,24,2021,4:15,PM,38,mm
SS,7,24,2021,4:20,AM,131,mm
SS,7,24,2021,4:20,PM,30,mm
SS,7,24,2021,4:25,AM,131,mm
SS,7,24,2021,4:25,PM,30,mm
SS,7,24,2021,4:30,AM,136,mm
SS,7,24,2021,4:30,PM,35,mm
SS,7,24,2021,4:35,AM,126,mm
SS,7,24,2021,4:35,PM,28,mm
SS,7,24,2021,4:40,AM,124,mm
SS,7,24,2021,4:40,PM,26,mm
SS,7,24,2021,4:45,AM,132,mm
SS,7,24,2021,4:45,PM,32,mm
SS,7,24,2021,4:50,AM,121,mm
SS,7,24,2021,4:50,PM,24,mm
SS,7,24,2021,4:55,AM,123,mm
SS,7,24,2021,4:55,PM,22,mm
SS,7,24,2021,5:00,AM,126,mm
SS,7,24,2021,5:00,PM,30,mm
SS,7,24,2021,5:05,AM,119,mm
SS,7,24,2021,5:05,PM,22,mm
SS,7,24,2021,5:10,AM,115,mm
SS,7,24,2021,5:10,PM,22,mm
SS,7,24,2021,5:15,AM,124,mm
SS,7,24,2021,5:15,PM,28,mm
SS,7,24,2021,5:20,AM,117,mm
SS,7,24,2021,5:20,PM,20,mm
SS,7,24,2021,5:25,AM,115,mm
SS,7,24,2021,5:25,PM,18,mm
SS,7,24,2021,5:30,AM,120,mm
SS,7,24,2021,5:30,PM,24,mm
SS,7,24,2021,5:35,AM,110,mm
SS,7,24,2021,5:35,PM,16,mm
SS,7,24,2021,5:40,AM,112,mm
SS,7,24,2021,5:40,PM,17,mm
SS,7,24,2021,5:45,AM,115,mm
SS,7,24,2021,5:45,PM,22,mm
SS,7,24,2021,5:50,AM,107,mm
SS,7,24,2021,5:50,PM,16,mm
SS,7,24,2021,5:55,AM,107,mm
SS,7,24,2021,5:55,PM,14,mm
SS,7,24,2021,6:00,AM,113,mm
SS,7,24,2021,6:00,PM,20,mm
SS,7,24,2021,6:05,AM,105,mm
SS,7,24,2021,6:05,PM,12,mm
SS,7,24,2021,6:10,AM,102,mm
SS,7,24,2021,6:10,PM,9,mm
SS,7,24,2021,6:15,AM,110,mm
SS,7,24,2021,6:15,PM,17,mm
SS,7,24,2021,6:20,AM,99,mm
SS,7,24,2021,6:20,PM,10,mm
SS,7,24,2021,6:25,AM,99,mm
SS,7,24,2021,6:25,PM,9,mm
SS,7,24,2021,6:30,AM,107,mm
